city,region,max,min,wind,rain,humidi,cloud,pressure,month,rain_last_3_days,flood_risk
Hanoi,North,27.916755699552894,28.471160012391714,11.388591021248397,139.15701501202858,45.26563444405158,58.581080633201395,1006.4356104276758,1,142.1897907025002,0
Hanoi,North,35.4899841384852,22.048463398841914,2.393581276555013,0.0,51.32831541031383,46.26903680164331,1008.4019989025705,2,73.44817917742925,0
Hanoi,North,37.51199422921732,26.788228829019,1.308967298744916,0.0,67.38188169181763,33.474480725859614,1014.1735002925008,3,44.39841099011197,0
Hanoi,North,38.19345838217534,30.531224126321423,3.546995834655951,0.0,41.54273032946068,57.09109638113846,1007.4898472957626,4,0.0,0
Hanoi,North,24.006040704501153,29.023537041522438,2.9609668444340493,13.809860629767435,53.045347883936884,39.72702419866605,1014.7236794386433,5,12.25786031136489,0
Hanoi,North,29.331934740682726,28.812961063339944,3.7400407636197683,12.139538013869176,54.73632224047413,14.911369280819024,1014.917523503038,6,0.0,0
Hanoi,North,32.70924846551103,24.060691198388895,4.0874996687030745,33.84089961629741,55.89052845632989,42.32455276002172,1020.0,7,42.41106441084281,0
Hanoi,North,37.20329009530705,20.117446067766853,1.2379963925729263,2.325020359377951,50.98016061014182,33.674181006383705,1017.8932901461586,8,23.0902210303844,0
Hanoi,North,28.33996837978405,32.694346513354844,3.044664135268808,31.7283329120822,57.24105346779686,16.510551412140874,1015.1355161261187,9,0.0,0
Hanoi,North,31.265472806954104,25.84582794174217,2.8904779462422825,1.8627920431042924,62.67902502397666,31.29864118280096,1003.5985539829824,10,18.287285510729124,0
Hanoi,North,29.52158486378417,23.588592220038926,4.429326938463721,0.0,64.92877453403464,34.65347149910212,1020.0,11,6.872708933252127,0
Hanoi,North,32.60549237158099,22.526419196139102,5.427734917438417,0.0,43.74984389663753,45.10873494110251,1019.1375067012352,12,18.900285035540357,0
Hanoi,North,32.14040985065241,15.874421815561272,1.2959633040772252,5.130229432699376,38.4376879247361,59.79323598721277,1020.0,1,20.937415580121787,0
Hanoi,North,29.062050552745536,23.705509461958794,3.148735831311465,22.535981214230937,38.1997031057811,22.544969753404686,1014.1618034872902,2,17.492555145022543,0
Hanoi,North,24.756655710621615,29.991409927071395,1.2211750481009038,38.96182892980919,29.679265093287864,54.14065961956325,1009.7333026422071,3,37.95124723139995,0
